iter	Logloss
0	0.6404352855
1	0.5989327894
2	0.5597941875
3	0.5272959326
4	0.501217271
5	0.4782667232
6	0.4625000068
7	0.4430089674
8	0.4264564102
9	0.4107407985
10	0.3990023919
11	0.391070218
12	0.3816648558
13	0.3726763943
14	0.3634688532
15	0.3594740199
16	0.3525582033
17	0.3474918873
18	0.3423970205
19	0.3375098547
20	0.3346313191
21	0.3308651293
22	0.3255359897
23	0.3216047287
24	0.3182730684
25	0.3143882766
26	0.3121615006
27	0.3091107517
28	0.3068482234
29	0.3043441602
30	0.3016882206
31	0.2994523591
32	0.2973885587
33	0.294931579
34	0.2936493119
35	0.2916494457
36	0.2909422617
37	0.2884626295
38	0.2877030817
39	0.2860363421
40	0.2848655455
41	0.2845053595
42	0.2839022998
43	0.2833254546
44	0.2820004673
45	0.2803706491
46	0.2793423363
47	0.2785427396
48	0.2772260197
49	0.2757042448
50	0.2751336716
51	0.2743715911
52	0.273646751
53	0.2723160259
54	0.2721745184
55	0.2717025954
56	0.2701884092
57	0.2696770513
58	0.2682380382
59	0.2680906976
60	0.2674344325
61	0.2671976252
62	0.2665745603
63	0.2657582484
64	0.2657199408
65	0.264708774
66	0.2645532208
67	0.2643759544
68	0.2639336415
69	0.2634508206
70	0.2633700376
71	0.2623838489
72	0.2622151881
73	0.2617822368
74	0.2611906866
75	0.2607581385
76	0.2604540667
77	0.2601758792
78	0.2593996206
79	0.2579569089
80	0.2572846364
81	0.2568676284
82	0.2558982816
83	0.2556639135
84	0.2553035204
85	0.254844223
86	0.2545106683
87	0.253839757
88	0.2534515792
89	0.2529685193
90	0.2528247495
91	0.2523597241
92	0.2510323561
93	0.2509843034
94	0.2505774782
95	0.2501438749
96	0.2498506332
97	0.2497906944
98	0.2495467995
99	0.2491625853
100	0.248775824
101	0.2483247937
102	0.248131431
103	0.2480452912
104	0.2476267092
105	0.2472120073
106	0.2466843167
107	0.2461406039
108	0.2457716528
109	0.2451921797
110	0.2445680066
111	0.2440795
112	0.2439944049
113	0.2437268948
114	0.2427496417
115	0.2427231851
116	0.2424686419
117	0.2419830023
118	0.2416718967
119	0.2412986521
120	0.2409699349
121	0.2409058929
122	0.2408790506
123	0.2403167291
124	0.2397116845
125	0.2386136322
126	0.238261279
127	0.2379319983
128	0.2376045603
129	0.2371219834
130	0.2366363376
131	0.2361269063
132	0.2352328962
133	0.2348894173
134	0.234427223
135	0.234020354
136	0.2339874648
137	0.2336585529
138	0.2333899136
139	0.2331158226
140	0.2327408697
141	0.2325166495
142	0.2316579734
143	0.2313677313
144	0.2309149412
145	0.230309991
146	0.2302592876
147	0.2301375938
148	0.2295745884
149	0.2295347028
150	0.2292555722
151	0.2285508533
152	0.2284459828
153	0.2280294347
154	0.2277532836
155	0.2273145527
156	0.2271402945
