iter	Passed	Remaining
0	126	189821
1	225	168986
2	324	162007
3	442	165402
4	470	140629
5	572	142597
6	594	126713
7	700	130576
8	725	120241
9	825	123018
10	882	119439
11	902	111891
12	942	107827
13	981	104213
14	1032	102203
15	1068	99100
16	1122	97893
17	1150	94755
18	1181	92117
19	1292	95660
20	1319	92965
21	1368	91910
22	1407	90411
23	1439	88507
24	1543	91070
25	1600	90729
26	1704	92972
27	1744	91718
28	1863	94542
29	1964	96252
30	2025	95962
31	2127	97621
32	2180	96923
33	2283	98470
34	2324	97289
35	2441	99270
36	2461	97313
37	2558	98431
38	2577	96574
39	2683	97961
40	2795	99487
41	2818	97840
42	2843	96334
43	2861	94694
44	2926	94614
45	3040	96095
46	3144	97210
47	3181	96234
48	3298	97688
49	3400	98613
50	3452	98100
51	3559	99117
52	3602	98367
53	3720	99617
54	3744	98379
55	3779	97468
56	3909	98980
57	3962	98506
58	4126	100783
59	4156	99762
60	4277	100911
61	4308	99937
62	4411	100624
63	4518	101376
64	4546	100378
65	4693	101981
66	4713	100822
67	4739	99809
68	4786	99268
69	4888	99856
70	4909	98821
71	5025	99675
72	5048	98689
73	5080	97900
74	5146	97788
75	5179	97056
76	5212	96328
77	5244	95620
78	5344	96139
79	5500	97627
80	5650	98996
81	5789	100112
82	5904	100802
83	5928	99937
84	5950	99063
85	6051	99502
86	6083	98809
87	6199	99469
88	6328	100331
89	6468	101343
90	6491	100506
91	6631	101495
92	6769	102416
93	6793	101613
94	6917	102302
95	7058	103223
96	7117	102951
97	7143	102202
98	7178	101586
99	7222	101110
100	7317	101351
101	7359	100870
102	7387	100199
103	7419	99592
104	7525	99980
105	7654	100670
106	7785	101360
107	7924	102134
108	8073	103028
109	8246	104201
110	8425	105426
111	8550	105970
112	8582	105339
113	8655	105236
114	8794	105913
115	8821	105245
116	8947	105766
117	9050	106000
118	9097	105577
119	9202	105824
120	9236	105261
121	9263	104628
122	9280	103901
123	9349	103747
124	9462	104091
125	9624	104952
126	9713	105014
127	9863	105727
128	9923	105466
129	10025	105653
130	10175	106342
131	10331	107069
132	10498	107904
133	10568	107735
134	10672	107911
135	10741	107726
136	10765	107103
137	10863	107219
138	10918	106909
139	11096	107793
140	11191	107863
141	11247	107560
142	11407	108248
143	11530	108578
144	11635	108733
145	11742	108901
146	11765	108291
147	11814	107922
148	11982	108642
149	12004	108044
150	12073	107863
151	12174	107968
152	12211	107509
153	12345	107905
154	12396	107569
155	12534	107986
156	12572	107544
157	12710	107961
158	12782	107805
159	12893	107985
160	13039	108448
161	13175	108823
162	13341	109435
163	13389	109073
164	13486	109121
165	13505	108533
166	13656	109004
167	13798	109404
168	13937	109766
169	14104	110347
170	14292	111083
